omega	psi_star	H
6.27425	0.9995	0.999
6.29431	0.99923	0.99846
6.31438	0.99401	0.98805
6.33445	0.98422	0.96869
6.35452	0.97051	0.94189
6.37458	0.95369	0.90953
6.39465	0.93461	0.8735
6.41472	0.91406	0.83551
6.43478	0.89271	0.79693
6.45485	0.8711	0.75881
6.47492	0.84963	0.72187
6.49498	0.82859	0.68657
6.51505	0.80818	0.65316
6.53512	0.78852	0.62176
6.55518	0.76967	0.59239
6.57525	0.75167	0.565
6.59532	0.73451	0.5395
6.61538	0.71818	0.51579
6.63545	0.70266	0.49373
6.65552	0.6879	0.47321
6.67559	0.67387	0.4541
6.69565	0.66053	0.4363
6.71572	0.64784	0.4197
6.73579	0.63576	0.40419
6.75585	0.62424	0.38968
6.77592	0.61327	0.3761
6.79599	0.60279	0.36336
6.81605	0.59278	0.35139
6.83612	0.58321	0.34014
6.85619	0.57406	0.32954
6.87625	0.56529	0.31955
6.89632	0.55688	0.31011
6.91639	0.54881	0.30119
6.93645	0.54105	0.29274
6.95652	0.5336	0.28473
6.97659	0.52644	0.27713
6.99666	0.51953	0.26992
7.01672	0.51288	0.26305
7.03679	0.50647	0.25651
7.05686	0.50028	0.25028
7.07692	0.4943	0.24434
7.09699	0.48853	0.23866
7.11706	0.48294	0.23323
7.13712	0.47753	0.22804
7.15719	0.4723	0.22307
7.17726	0.46723	0.2183
7.19732	0.46231	0.21373
7.21739	0.45754	0.20934
7.23746	0.45291	0.20513
7.25753	0.44841	0.20107
7.27759	0.44405	0.19718
7.29766	0.4398	0.19342
7.31773	0.43567	0.18981
7.33779	0.43165	0.18632
7.35786	0.42774	0.18296
7.37793	0.42393	0.17972
7.39799	0.42022	0.17658
7.41806	0.4166	0.17356
7.43813	0.41307	0.17063
7.45819	0.40963	0.1678
7.47826	0.40627	0.16506
7.49833	0.40299	0.1624
7.51839	0.39979	0.15983
7.53846	0.39666	0.15734
7.55853	0.39361	0.15493
7.5786	0.39062	0.15258
7.59866	0.3877	0.15031
7.61873	0.38484	0.1481
7.6388	0.38204	0.14596
7.65886	0.3793	0.14387
7.67893	0.37662	0.14184
7.699	0.374	0.13987
7.71906	0.37142	0.13796
7.73913	0.3689	0.13609
7.7592	0.36643	0.13427
7.77926	0.36401	0.1325
7.79933	0.36164	0.13078
7.8194	0.35931	0.1291
7.83946	0.35702	0.12746
7.85953	0.35478	0.12587
7.8796	0.35257	0.12431
7.89967	0.35041	0.12279
7.91973	0.34829	0.12131
7.9398	0.3462	0.11986
7.95987	0.34416	0.11844
7.97993	0.34214	0.11706
8.0	0.34017	0.11571
